general_info;
month;May 
year;2013
total_incidents_monthly;11
total_responses_monthly;4
incidents_responded_to_monthly;3
incidents_since;
since_incidents;11
since_at_least_one_response;3
since_year;2013
since_month;May 
hate_crimes_cases_in_a_year;
trials_ongoing;0
convictions;0
acquittals;0
monthly_preview;
i_jan;0
i_feb;0
i_mar;0
i_apr;0
i_may;11
i_june;0
i_july;0
i_aug;0
i_sep;0
i_oct;0
i_nov;0
i_dec;0
victim_characteristics;
vc_ethnicity_nationality_religion;11
vc_race_colour;0
vc_sexual_orientation;0
vc_sex_gender;0
vc_language_script;0
vc_political_affiliation;0
vc_social_origin_social status;0
vc_age;0
vc_health;0
vc_other;0
incidents;
i_physical_assault;1
i_murder;0
i_rape;0
i_theft_robbery_armedrobbery;0
i_property_damage;1
i_hate_speech;0
i_damage_religious_facilities;3
i_desecrating_graveyards_gravestones;1
i_arson;0
i_verbal_assault;2
i_graffiti;2
i_distribution_offensive_materials;0
i_displaying_flags_symbols;2
i_insulting_phone_internet_sms_messages;0
i_other;1
responses;
r_public_condemnation_religious_leaders;1
r_public_condemnation_officials;0
r_public_condemnation_civil_society;1
r_public_condemnation_political_parties;0
r_graffiti_removal;0
r_reporting_damaged_property;1
r_repairing_cleaning_cemetery;0
r_peaceful_gathering_vigil_march;0
r_petition_letter-writing;0
r_social_media_campaign;0
r_roundtable_conference;0
r_concert_performance_exhibition;0
r_other;0
r_highlighted_response;"On 22 May 2013 the BiH Inter-Religious Council visited the Prijedor Town Mosque together with representatives of Orthodox, Catholic and Islamic religious communities, and Deputy Mayor of Prijedor and publicly condemned the incident and all other bias motivated incidents that have been occurring lately throughout BiH."
geographical_presentation_incidents;
Banja Luka;2
Bihać;0
Bijeljina;0
Bugojno;0
Doboj;1
Donji Vakuf;0
Gradiška;0
Ilidža;1
Kneževo;1
Livno;0
Mostar;2
Novi Travnik;1
Prijedor;2
Sarajevo;0
Srebrenica;0
Stari Grad Sarajevo;0
Tomislavgrad;1
Travnik;0
Trebinje;0
Tuzla;0
Zenica;0
geographical_presentation_responses;
Banja Luka;0
Bihać;0
Bijeljina;0
Bugojno;0
Doboj;0
Donji Vakuf;0
Gradiška;0
Ilidža;1
Kneževo;0
Livno;0
Mostar;0
Novi Travnik;0
Prijedor;1
Sarajevo;0
Srebrenica;0
Stari Grad Sarajevo;0
Tomislavgrad;2
Travnik;0
Trebinje;0
Tuzla;0
Zenica;0
